Specimen name,Author,SubFamily, Tribe, Genus, Fossil?, Age, notes
Adetomyrma,Grimaldi,Amblyoponinae,Adetomyrma,No,0,,
Amblyopone, BradyAndWard, Amblyopononinae,, Amblyopone, No,0,
Amblyopone, Grimaldi, Amblyopononinae,, Amblyopone, No,0,
Brownimecia, Grimaldi, Brownimeciinae,, Brownimecia, Yes, ???,
Leptanilla,BradyAndWard, Leptanillinae,  Leptanillini, Leptanilla, No,0,
Leptanillini,BaroniUrbani, Leptanillinae,  Leptanillini, , No,0,
Leptanillini,Grimaldi, Leptanillinae,  Leptanillini, , No,0,
Myrmecia, BradyAndWard, Myrmeciinae, Myrmeciini, Myrmecia, No,0,
Onychomyrmex, BradyAndWard, Amblyopononinae, , Onychomyrmex, No,0,
Paraponera, BradyAndWard, Paraponerinae, , Paraponera, No,0,
Paraponera, Grimaldi, Paraponerinae, , Paraponera, No,0,
Rhytidoponera, BradyAndWard, Ectatomminae, Ectatommini , Rhytidoponera, No,0,
Acanthostichus, BradyAndWard, Dorylinae, , Acanthostichus, No,0,
Aenictogiton, BradyAndWard , Dorylinae, , Aenictogiton, No,0,
Aenictogiton, BaroniUrbani , Dorylinae, , Aenictogiton, No,0,
Aenictogiton, Grimaldi , Dorylinae, , Aenictogiton, No,0,
Aenictus, BradyAndWard, Dorylinae, , Aenictus, No,0,
Aenictus, Grimaldi, Dorylinae, , Aenictus, No,0,
Asphinctanilloides, BradyAndWard, Dorylinae, , Asphinctanilloides, No,0, now Leptanilloides
Cerapachys, BradyAndWard, Dorylinae, , Cerapachys, No,0,
Cheliomyrmex, BradyAndWard, Dorylinae, , Cheliomyrmex, No,0,
Cylindromyrmex, BradyAndWard, Dorylinae,Cylindromyrmecini,Cylindromyrmex, No,0,
Dorylus, BradyAndWard, Dorylinae, , Dorylus, No,0,
Eciton, BradyAndWard, Dorylinae, , Eciton, No,0,
Labidus, BradyAndWard, Dorylinae, , Labidus, No,0,
Leptanilloides, BradyAndWard, Dorylinae, , Leptanilloides, No,0,
Leptanilloides, BaroniUrbani, Dorylinae, , Leptanilloides, No,0,
Leptanilloides, Grimaldi, Dorylinae, , Leptanilloides, No,0,
Neivamyrmex, BradyAndWard, Dorylinae, , Neivamyrmex, No,0,
Nomamyrmex, BradyAndWard, Dorylinae, , Nomamyrmex, No,0,
Phyracaces, BradyAndWard, Dorylinae, , Phyracaces, No,0,
Simopone, BradyAndWard, Dorylinae, , Simopone, No,0,
Sphinctomyrmex, BradyAndWard, Dorylinae, , Sphinctomyrmex, No,0,
Aenictinae, BaroniUrbani, Aenictinae, , , No,0, Now called Dorylinae
Aneuretinae, BaroniUrbani, Aneuretinae, , , No,0,
Aneuretinae, Grimaldi, Aneuretinae, , , No,0,
Anomalomyrmini, BaroniUrbani, Leptanillinae,Anomalomyrmini, , No,0,
Anomalomyrmini, Grimaldi, Leptanillinae,Anomalomyrmini, , No,0,
Apomyrmini, BaroniUrbani, Amblyoponinae,Apomyrmini, , No,0,
Apomyrmini, Grimaldi, Amblyoponinae,Apomyrmini, , No,0,
Cerapachyinae, Grimaldi, Cerapachyinae,, , No,0, Now called Dorylinae
Cerapachyinae, BaroniUrbani, Cerapachyinae,, , No,0, Now called Dorylinae
Dolichoderinae, BaroniUrbani, Dolichoderinae,, , No,0,
Dolichoderinae, Grimaldi, Dolichoderinae,, , No,0,
Dorylinae, BaroniUrbani, Dorylinae,, , No,0,
Dorylinae, Grimaldi, Dorylinae,, , No,0,
Ecitoninae,Grimaldi,Ecitoninae,, , No,0, Now called Dorylinae
Ecitoninae, BaroniUrbani,Ecitoninae,, , No,0, Now called Dorylinae
Formicinae, BaroniUrbani, Formicinae,, , No,0,
Formicinae, Grimaldi, Formicinae,, , No,0,
Myrmeciini, BaroniUrbani, Myrmeciinae,Myrmeciini, , No,0,
Myrmeciini, Grimaldi, Myrmeciinae,Myrmeciini, , No,0,
Myrmeciinae, Grimaldi, Myrmeciinae,, , No,0,
Myrmeciinae, BaroniUrbani, Myrmeciinae,, , No,0,
Nothomyrmeclinae, BaroniUrbani, Myrmeciinae,Prionomyrmecini,Nothomyrmeclinae, No,0,
Nothomyrmeclinae, Grimaldi, Myrmeciinae,Prionomyrmecini,Nothomyrmeclinae, No,0,
Platythyrea, Grimaldi, Ponerinae,Platythyreini,Platythyrea, No,0,
Ponerinae, Grimaldi, Ponerinae,, , No,0,
Ponerinae, BaroniUrbani, Ponerinae,, , No,0,
Pseudomyrnnecinae,  Grimaldi, Pseudomyrnnecinae,, , No,0,
Pseudomyrnnecinae, BaroniUrbani, Pseudomyrnnecinae,, , No,0,
Formiciinae, Grimaldi, Formiciinae,, ,Yes, ???,
Formiciinae, BaroniUrbani, Formiciinae,, ,Yes, ???,
Sphecomyrma, Grimaldi, Sphecomyrminae,Sphecomyrmini,Sphecomyrma,Yes, ???,
Prionomyrmecini, Grimaldi, Prionomyrmecini,, , No,0,
Prionomyrmecini, BaroniUrbani, Prionomyrmecini,, , No,0,
Bradynobaenidae, BaroniUrbani, wasp, wasp, , No,0,outgroup
Bradynobaenidae, Grimaldi, wasp, wasp, , No,0,outgroup
Vespidae, BaroniUrbani, wasp, wasp, , No,0,outgroup
Vespidae, Grimaldi, wasp, wasp, , No,0,outgroup
Nothomyrmecia_macrops,KGB,Myrmeciinae,Prionomyrmecini,Nothomyrmecia,NA,NA,
Proceratium_pergandei,KGB,Proceratiinae,Proceratiini,Proceratium,NA,NA,
Dolioponera_fustigera,KGB,Ponerinae,Ponerini,Dolioponera,NA,NA,
Aneuretus,KGB,Aneuretinae,,,NA,NA,
Myopopone_castanea,KGB,Amblyoponinae,,Myopopone,NA,NA,
Thaumatomyrmex_atrox,KGB,Ponerinae,Ponerini,Thaumatomyrmex,NA,NA,
Pogonomyrmex_barbatus,KGB,Myrmicinae,Pogonomyrmecini,Pogonomyrmex,NA,NA,
Proceratium_croceum,KGB,Proceratiinae,Proceratiini,Proceratium,NA,NA,
Discothyrea_oculata,KGB,Proceratiinae,Proceratiini,Discothyrea,NA,NA,
Emeryopone_buttelreepeni,KGB,Ponerinae,Ponerini,Emeryopone,NA,NA,
Haidoterminus_cippus,KGB,Sphecomyrminae,Haidomyrmecini,Haidoterminus,NA,NA,
Amblyopone_australis,KGB,Amblyoponinae,,Amblyopone,NA,NA,
Ponera_alpha,KGB,Ponerinae,Ponerini,Ponera,NA,NA,
Leptogenys_podenzanai,KGB,Ponerinae,Ponerini,Leptogenys,NA,NA,
Odontoponera_transversa,KGB,Ponerinae,Ponerini,Odontoponera,NA,NA,
Gerontoformica_gracilis,KGB,Sphecomyrminae,,Gerontoformica,NA,NA,
Leptogenys_diminuta,KGB,Ponerinae,Ponerini,Leptogenys,NA,NA,
Amblyopone_mercovichi,KGB,Amblyoponinae,,Amblyopone,NA,NA,
Tetraponera_aethiops,KGB,Pseudomyrmecinae,,Tetraponera,NA,NA,
Platythyrea_turneri,KGB,Ponerinae,Platythyreini,Platythyrea,NA,NA,
Odontomachus_bauri,KGB,Ponerinae,Ponerini,Odontomachus,NA,NA,
Phrynoponera_gabonensis,KGB,Ponerinae,Ponerini,Phrynoponera,NA,NA,
Haidomyrmex_scimitarus,KGB,Sphecomyrminae,Haidomyrmecini,Haidomyrmex,NA,NA,
Leptanilloides_nomada,KGB,Dorylinae,,Leptanilloides,NA,NA,
Technomyrmex_albipes,KGB,Dolichoderinae,,Technomyrmex,NA,NA,
Simopelta_oculata,KGB,Ponerinae,Ponerini,Simopelta,NA,NA,
Psalidomyrmex_procerus,KGB,Ponerinae,Ponerini,Psalidomyrmex,NA,NA,
Hypoponera_opacior,KGB,Ponerinae,Ponerini,Hypoponera,NA,NA,
Platythyrea_punctata,KGB,Ponerinae,Platythyreini,Platythyrea,NA,NA,
Tapinoma_erraticum,KGB,Dolichoderinae,,Tapinoma,NA,NA,
Pogonomyrmex_californicus,KGB,Myrmicinae,Pogonomyrmecini,Pogonomyrmex,NA,NA,
Formica_fusca,KGB,Formicinae,Formicini,Formica,NA,NA,
Cheliomyrmex_morosus,KGB,Dorylinae,Cheliomyrmecini,Cheliomyrmex,NA,NA,
Dinoponera_lucida,KGB,Ponerinae,Ponerini,Dinoponera,NA,NA,
Kyromyrma,KGB,Formicinae,,,NA,NA,
Cryptopone_gilva,KGB,Ponerinae,Ponerini,Cryptopone,NA,NA,
Myrmecia_nigriceps,KGB,Myrmeciinae,Myrmeciini,Myrmecia,NA,NA,
Gerontoformica_spiralis,KGB,Sphecomyrminae,,Gerontoformica,NA,NA,
Myrmecia_nigriscapa,KGB,Myrmeciinae,Myrmeciini,Myrmecia,NA,NA,
Harpegnathos_saltator,KGB,Ponerinae,Ponerini,Harpegnathos,NA,NA,
Rhytidoponera_confusa,KGB,Ectatomminae,Ectatommini,Rhytidoponera,NA,NA,
Centromyrmex_brachycola,KGB,Ponerinae,Ponerini,Centromyrmex,NA,NA,
Tatuidris_tatusia,KGB,Agroecomyrmecinae,,Tatuidris,NA,NA,
Apomyrma_stygia,KGB,Apomyrminae,,Apomyrma,NA,NA,
Loboponera_vigilans,KGB,Ponerinae,Ponerini,Loboponera,NA,NA,
Labidus_coecus,KGB,Dorylinae,,Labidus,NA,NA,
Simopone_schoutedeni,KGB,Dorylinae,,Simopone,NA,NA,
Zigrasimecia,KGB,Sphecomyrminae,Sphecomyrmini,,NA,NA,
Dolichoderus_laminatus,KGB,Dolichoderinae,,Dolichoderus,NA,NA,
Martialis_heureka,KGB,Martialinae,,Martialis,NA,NA,
Dorylus_helvolus,KGB,Dorylinae,,Dorylus,NA,NA,
Acanthoponera_minor,KGB,Heteroponerinae,,Acanthoponera,NA,NA,
Eciton_hamatum,KGB,Dorylinae,,Eciton,NA,NA,
Gerontoformica_pilosus,KGB,Sphecomyrminae,,Gerontoformica,NA,NA,
Aenictus_binghami,KGB,Dorylinae,,Aenictus,NA,NA,
Anochetus_emarginatus,KGB,Ponerinae,Ponerini,Anochetus,NA,NA,
Heteroponera_relicta,KGB,Heteroponerinae,,Heteroponera,NA,NA,
Iridomyrmex_purpureus,KGB,Dolichoderinae,,Iridomyrmex,NA,NA,
Gnamptogenys_annulata,KGB,Ectatomminae,Ectatommini,Gnamptogenys,NA,NA,
Acanthostichus_serratulus,KGB,Dorylinae,,Acanthostichus,NA,NA,
Mystrium_voeltzkowi,KGB,Amblyoponinae,,Mystrium,NA,NA,
Haidomyrmodes_mammuthus,KGB,Sphecomyrminae,Haidomyrmecini,Haidomyrmodes,NA,NA,
Leptomyrmex_pallens,KGB,Dolichoderinae,,Leptomyrmex,NA,NA,
Leptanilla_swani,KGB,Leptanillinae,Leptanillini,Leptanilla,NA,NA,
Oecophylla_smaragdina,KGB,Formicinae,Oecophyllini,Oecophylla,NA,NA,
Gerontoformica_magnus,KGB,Sphecomyrminae,,Gerontoformica,NA,NA,
Paraponera_clavata,KGB,Paraponerinae,,Paraponera,NA,NA,
Pachycondyla_crassinoda,KGB,Ponerinae,Ponerini,Pachycondyla,NA,NA,
Cylindromyrmex_brevitarsus,KGB,Dorylinae,Cylindromyrmecini,Cylindromyrmex,NA,NA,
Ponera_pennsylvanica,KGB,Ponerinae,Ponerini,Ponera,NA,NA,
Gnamptogenys_minuta,KGB,Ectatomminae,Ectatommini,Gnamptogenys,NA,NA,
Proceratium_stictum,KGB,Proceratiinae,Proceratiini,Proceratium,NA,NA,
Ectatomma_tuberculatum,KGB,Ectatomminae,Ectatommini,Ectatomma,NA,NA,
Opamyrma_hungvuong,KGB,Leptanillinae,,Opamyrma,NA,NA,
Myopias_maligna,KGB,Ponerinae,Ponerini,Myopias,NA,NA,
Typhlomyrmex_pusillus,KGB,Ectatomminae,Typhlomyrmecini,Typhlomyrmex,NA,NA,
Gesomyrmex_luzonensis,KGB,Formicinae,Gesomyrmecini,Gesomyrmex,NA,NA,
Manica_rubida,KGB,Myrmicinae,Myrmicini,Manica,NA,NA,
Prionopelta_aethiopica,KGB,Amblyoponinae,,Prionopelta,NA,NA,
Streblognathus_peetersi,KGB,Ponerinae,Ponerini,Streblognathus,NA,NA,
Probolomyrmex_guineensis,KGB,Proceratiinae,Probolomyrmecini,Probolomyrmex,NA,NA,
Myrmica_americana,KGB,Myrmicinae,Myrmicini,Myrmica,NA,NA,
Metapone_madagascarica,KGB,Myrmicinae,Crematogastrini,Metapone,NA,NA,
Discothyrea_testacea,KGB,Proceratiinae,Proceratiini,Discothyrea,NA,NA,
Asphinctopone_silvestrii,KGB,Ponerinae,Ponerini,Asphinctopone,NA,NA,
Typhlomyrmex_rogenhoferi,KGB,Ectatomminae,Typhlomyrmecini,Typhlomyrmex,NA,NA,
Gnamptogenys_striatula,KGB,Ectatomminae,Ectatommini,Gnamptogenys,NA,NA,
Diacamma_ceylonense,KGB,Ponerinae,Ponerini,Diacamma,NA,NA,
Tetraponera_attenuata,KGB,Pseudomyrmecinae,,Tetraponera,NA,NA,
Belonopelta_deletrix,KGB,Ponerinae,Ponerini,Belonopelta,NA,NA,
Aneuretus_simoni,KGB,Aneuretinae,,Aneuretus,NA,NA,
Prionopelta_antillana,KGB,Amblyoponinae,,Prionopelta,NA,NA,
Myanmyrma_gracilis,KGB,,,Myanmyrma,NA,NA,
Camelomecia,KGB,,,,NA,NA,
Lasius_californicus,KGB,Formicinae,Lasiini,Lasius,NA,NA,
Brownimecia_clavata,KGB,Brownimeciinae,,Brownimecia,NA,NA,
Pseudomyrmex_gracilis,KGB,Pseudomyrmecinae,,Pseudomyrmex,NA,NA,
Sphecomyrma_freyi,KGB,Sphecomyrminae,Sphecomyrmini,Sphecomyrma,NA,NA,
Tetraponera_punctulata,KGB,Pseudomyrmecinae,,Tetraponera,NA,NA,
Plectroctena_strigosa,KGB,Ponerinae,Ponerini,Plectroctena,NA,NA,
Loboponera_obeliscata,KGB,Ponerinae,Ponerini,Loboponera,NA,NA,
Onychomyrmex_doddi,KGB,Amblyoponinae,,Onychomyrmex,NA,NA,