taxon	min	max
Gerontoformica_gracilis	93.5	99.6
Gerontoformica_magnus	93.5	99.6
Gerontoformica_pilosus	93.5	99.6
Gerontoformica_spiralis	93.5	99.6
Camelomecia	98	100
Haidomyrmex_scimitarus	98	100
Haidomyrmodes_mammuthus	99	100
Haidoterminus_cippus	99	100
Kyromyrma	98	101
Myanmyrma_gracilis	90	100
Sphecomyrma_freyi	89	93
Zigrasimecia	93.5	99.6
Baikuris_maximus	99.6	105.3
Eulithomyrmex_striatus	33.9	37.2
Casaleia_inversa	5.333	15.97
Aneuretellus_deformis	41.3	47.8
Alloiomma_differentialis	11.608	15.97
Azteca_eumeces	13.82	20.44
Dolichoderus_dibolius	13.82	20.44
Camponotus_theobaldi	23.03	28.1







	